date,region,cost_category,amount
2023-01-01,North America,COGS,55293.74
2023-01-01,North America,Logistics,16636.31
2023-01-01,North America,Marketing,11932.34
2023-01-01,North America,Admin,6595.87
2023-01-01,Europe,COGS,67051.23
2023-01-01,Europe,Logistics,18004.31
2023-01-01,Europe,Marketing,11048.56
2023-01-01,Europe,Admin,8167.26
2023-01-01,Asia Pacific,COGS,50338.22
2023-01-01,Asia Pacific,Logistics,12413.57
2023-01-01,Asia Pacific,Marketing,9789.18
2023-01-01,Asia Pacific,Admin,5848.98
2023-01-01,Latin America,COGS,41120.62
2023-01-01,Latin America,Logistics,9377.06
2023-01-01,Latin America,Marketing,8886.94
2023-01-01,Latin America,Admin,5607.49
2023-01-01,Middle East,COGS,53427.88
2023-01-01,Middle East,Logistics,17001.28
2023-01-01,Middle East,Marketing,12490.93
2023-01-01,Middle East,Admin,8070.89
2023-02-01,North America,COGS,41115.27
2023-02-01,North America,Logistics,9558.98
2023-02-01,North America,Marketing,7444.54
2023-02-01,North America,Admin,5841.4
2023-02-01,Europe,COGS,66491.26
2023-02-01,Europe,Logistics,14737.53
2023-02-01,Europe,Marketing,11209.31
2023-02-01,Europe,Admin,7704.02
2023-02-01,Asia Pacific,COGS,36778.96
2023-02-01,Asia Pacific,Logistics,10952.19
2023-02-01,Asia Pacific,Marketing,7596.55
2023-02-01,Asia Pacific,Admin,5797.32
2023-02-01,Latin America,COGS,53811.56
2023-02-01,Latin America,Logistics,13831.45
2023-02-01,Latin America,Marketing,9234.83
2023-02-01,Latin America,Admin,7174.06
2023-02-01,Middle East,COGS,58113.02
2023-02-01,Middle East,Logistics,15019.75
2023-02-01,Middle East,Marketing,12687.2
2023-02-01,Middle East,Admin,7152.44
2023-03-01,North America,COGS,36161.05
2023-03-01,North America,Logistics,12289.23
2023-03-01,North America,Marketing,8906.13
2023-03-01,North America,Admin,6005.84
2023-03-01,Europe,COGS,59721.37
2023-03-01,Europe,Logistics,16456.96
2023-03-01,Europe,Marketing,10786.51
2023-03-01,Europe,Admin,7129.9
2023-03-01,Asia Pacific,COGS,56484.84
2023-03-01,Asia Pacific,Logistics,15491.74
2023-03-01,Asia Pacific,Marketing,12301.74
2023-03-01,Asia Pacific,Admin,7904.23
2023-03-01,Latin America,COGS,54362.38
2023-03-01,Latin America,Logistics,13405.9
2023-03-01,Latin America,Marketing,9179.08
2023-03-01,Latin America,Admin,6986.61
2023-03-01,Middle East,COGS,41710.95
2023-03-01,Middle East,Logistics,12649.3
2023-03-01,Middle East,Marketing,7892.92
2023-03-01,Middle East,Admin,4960.64
2023-04-01,North America,COGS,41440.78
2023-04-01,North America,Logistics,12352.57
2023-04-01,North America,Marketing,8986.42
2023-04-01,North America,Admin,6391.83
2023-04-01,Europe,COGS,54289.73
2023-04-01,Europe,Logistics,16298.84
2023-04-01,Europe,Marketing,10055.55
2023-04-01,Europe,Admin,6381.37
2023-04-01,Asia Pacific,COGS,40896.61
2023-04-01,Asia Pacific,Logistics,10106.83
2023-04-01,Asia Pacific,Marketing,6888.63
2023-04-01,Asia Pacific,Admin,5113.48
2023-04-01,Latin America,COGS,42608.51
2023-04-01,Latin America,Logistics,10556.97
2023-04-01,Latin America,Marketing,7760.47
2023-04-01,Latin America,Admin,5045.67
2023-04-01,Middle East,COGS,52547.61
2023-04-01,Middle East,Logistics,12810.32
2023-04-01,Middle East,Marketing,9707.59
2023-04-01,Middle East,Admin,8322.22
2023-05-01,North America,COGS,63842.81
2023-05-01,North America,Logistics,14934.21
2023-05-01,North America,Marketing,13742.43
2023-05-01,North America,Admin,8702.82
2023-05-01,Europe,COGS,53839.71
2023-05-01,Europe,Logistics,13582.6
2023-05-01,Europe,Marketing,9610.12
2023-05-01,Europe,Admin,8169.78
2023-05-01,Asia Pacific,COGS,42886.57
2023-05-01,Asia Pacific,Logistics,11826.69
2023-05-01,Asia Pacific,Marketing,9642.12
2023-05-01,Asia Pacific,Admin,5670.01
2023-05-01,Latin America,COGS,63280.25
2023-05-01,Latin America,Logistics,16691.24
2023-05-01,Latin America,Marketing,11505.87
2023-05-01,Latin America,Admin,8129.15
2023-05-01,Middle East,COGS,53100.32
2023-05-01,Middle East,Logistics,11861.57
2023-05-01,Middle East,Marketing,9906.49
2023-05-01,Middle East,Admin,5843.73
2023-06-01,North America,COGS,42549.16
2023-06-01,North America,Logistics,10681.63
2023-06-01,North America,Marketing,7900.6
2023-06-01,North America,Admin,6135.56
2023-06-01,Europe,COGS,40710.83
2023-06-01,Europe,Logistics,9862.41
2023-06-01,Europe,Marketing,6889.47
2023-06-01,Europe,Admin,4945.44
2023-06-01,Asia Pacific,COGS,36533.79
2023-06-01,Asia Pacific,Logistics,8518.72
2023-06-01,Asia Pacific,Marketing,6967.96
2023-06-01,Asia Pacific,Admin,3746.06
2023-06-01,Latin America,COGS,44515.32
2023-06-01,Latin America,Logistics,13467.5
2023-06-01,Latin America,Marketing,9120.07
2023-06-01,Latin America,Admin,5904.63
2023-06-01,Middle East,COGS,36752.44
2023-06-01,Middle East,Logistics,10386.24
2023-06-01,Middle East,Marketing,7599.79
2023-06-01,Middle East,Admin,4420.41
2023-07-01,North America,COGS,55689.71
2023-07-01,North America,Logistics,11840.6
2023-07-01,North America,Marketing,10116.2
2023-07-01,North America,Admin,5857.24
2023-07-01,Europe,COGS,42912.53
2023-07-01,Europe,Logistics,12832.86
2023-07-01,Europe,Marketing,9810.85
2023-07-01,Europe,Admin,6617.08
2023-07-01,Asia Pacific,COGS,35800.62
2023-07-01,Asia Pacific,Logistics,7800.61
2023-07-01,Asia Pacific,Marketing,5482.26
2023-07-01,Asia Pacific,Admin,4313.61
2023-07-01,Latin America,COGS,42200.59
2023-07-01,Latin America,Logistics,11187.32
2023-07-01,Latin America,Marketing,7258.93
2023-07-01,Latin America,Admin,5815.85
2023-07-01,Middle East,COGS,36567.61
2023-07-01,Middle East,Logistics,8996.82
2023-07-01,Middle East,Marketing,8233.04
2023-07-01,Middle East,Admin,4365.38
2023-08-01,North America,COGS,27908.9
2023-08-01,North America,Logistics,8711.32
2023-08-01,North America,Marketing,6361.52
2023-08-01,North America,Admin,4078.13
2023-08-01,Europe,COGS,54040.24
2023-08-01,Europe,Logistics,12962.27
2023-08-01,Europe,Marketing,9133.19
2023-08-01,Europe,Admin,6970.58
2023-08-01,Asia Pacific,COGS,41324.17
2023-08-01,Asia Pacific,Logistics,10060.43
2023-08-01,Asia Pacific,Marketing,9226.44
2023-08-01,Asia Pacific,Admin,5318.84
2023-08-01,Latin America,COGS,45576.13
2023-08-01,Latin America,Logistics,11686.3
2023-08-01,Latin America,Marketing,10864.98
2023-08-01,Latin America,Admin,5903.49
2023-08-01,Middle East,COGS,32562.24
2023-08-01,Middle East,Logistics,9379.35
2023-08-01,Middle East,Marketing,5747.99
2023-08-01,Middle East,Admin,3976.04
2023-09-01,North America,COGS,50931.81
2023-09-01,North America,Logistics,11900.36
2023-09-01,North America,Marketing,7970.01
