map,rank_tier,rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,acs,first_blood_pct,num_matches
All Maps,3,Iron 1,Sage,0.78,11.5,14.7,4.2,51.9,18.8,164,11.7,9231
All Maps,3,Iron 1,Raze,0.9,13.1,14.6,4.3,44.2,11.7,207,13.9,5763
All Maps,3,Iron 1,Jett,1.01,14.3,14.1,4.1,53.8,10.8,210,15.2,5304
All Maps,3,Iron 1,Reyna,1.01,14.7,14.6,3.9,48.5,10.3,224,14.7,5049
All Maps,3,Iron 1,Viper,0.8,11.0,13.9,4.3,49.3,6.9,165,11.8,3417
All Maps,3,Iron 1,Killjoy,0.86,12.6,14.7,4.3,51.6,6.6,185,12.2,3264
All Maps,3,Iron 1,Phoenix,0.99,13.1,13.3,4.2,62.3,6.3,202,14.7,3111
All Maps,3,Iron 1,Omen,0.85,12.6,14.7,4.5,53.4,6.0,189,14.0,2958
All Maps,3,Iron 1,Sova,0.8,12.1,15.1,5.4,49.0,5.1,182,13.4,2499
All Maps,3,Iron 1,Brimstone,0.89,12.8,14.3,5.6,54.3,4.8,192,11.1,2346
All Maps,3,Iron 1,Skye,0.76,10.4,13.7,3.6,52.6,3.9,149,10.9,1938
All Maps,3,Iron 1,Yoru,0.86,12.2,14.2,3.3,52.6,3.9,186,14.9,1938
All Maps,3,Iron 1,Cypher,0.95,14.5,15.3,5.0,36.4,2.3,193,8.8,1122
All Maps,3,Iron 1,Breach,0.75,11.4,15.2,4.4,52.4,2.2,161,11.3,1071
All Maps,3,Iron 1,Astra,1.2,15.3,12.8,4.8,50.0,0.4,217,8.2,204
All Maps,4,Iron 2,Sage,0.75,11.1,14.7,4.5,46.5,16.9,163,11.3,5151
All Maps,4,Iron 2,Reyna,1.02,16.0,15.7,4.5,49.3,11.5,224,16.3,3519
All Maps,4,Iron 2,Raze,0.85,13.1,15.3,4.8,50.0,9.7,198,13.3,2958
All Maps,4,Iron 2,Jett,0.99,15.4,15.6,4.0,46.4,9.3,223,16.9,2856
All Maps,4,Iron 2,Killjoy,1.0,13.6,13.6,4.4,51.9,8.7,203,8.5,2652
All Maps,4,Iron 2,Omen,0.86,13.1,15.2,3.9,52.1,8.0,192,13.6,2448
All Maps,4,Iron 2,Sova,0.78,11.2,14.4,5.1,47.9,8.0,169,10.4,2448
All Maps,4,Iron 2,Viper,0.92,14.2,15.4,5.7,44.7,6.3,195,9.3,1938
All Maps,4,Iron 2,Phoenix,1.11,14.6,13.2,4.1,62.5,5.3,219,16.0,1632
All Maps,4,Iron 2,Yoru,0.93,13.3,14.3,3.3,47.8,3.8,193,16.0,1173
All Maps,4,Iron 2,Cypher,0.78,11.7,15.0,5.3,34.8,3.8,173,10.0,1173
All Maps,4,Iron 2,Brimstone,0.79,12.1,15.3,5.9,43.8,2.7,178,10.9,816
All Maps,4,Iron 2,Skye,0.98,13.9,14.2,4.5,53.3,2.5,193,11.5,765
All Maps,4,Iron 2,Breach,0.93,12.4,13.4,5.3,69.2,2.2,192,11.2,663
All Maps,4,Iron 2,Astra,0.7,9.9,14.0,4.0,42.9,1.2,158,15.9,357
All Maps,5,Iron 3,Sage,0.84,12.0,14.2,4.3,49.6,17.7,176,11.7,21471
All Maps,5,Iron 3,Reyna,1.06,15.6,14.7,4.4,50.0,13.1,233,15.7,15912
All Maps,5,Iron 3,Jett,1.04,15.5,14.9,4.1,51.4,10.4,231,17.6,12597
All Maps,5,Iron 3,Raze,0.97,14.4,14.9,4.9,52.1,8.9,219,14.5,10863
All Maps,5,Iron 3,Killjoy,0.96,13.3,13.8,4.4,49.0,8.1,200,9.8,9792
All Maps,5,Iron 3,Sova,0.91,13.0,14.3,5.4,53.8,7.1,191,11.2,8619
All Maps,5,Iron 3,Viper,0.85,12.6,14.8,5.2,44.4,6.3,184,11.6,7701
All Maps,5,Iron 3,Omen,0.96,13.8,14.3,4.1,55.0,6.3,197,11.5,7701
All Maps,5,Iron 3,Phoenix,0.93,13.9,15.0,3.9,43.3,5.3,206,14.9,6477
All Maps,5,Iron 3,Brimstone,0.91,12.9,14.1,5.8,48.0,4.1,195,12.5,4998
All Maps,5,Iron 3,Skye,0.85,12.7,14.9,4.2,47.9,4.0,184,11.9,4896
All Maps,5,Iron 3,Cypher,0.91,12.8,14.1,4.4,53.7,3.4,179,10.6,4182
All Maps,5,Iron 3,Yoru,0.8,12.3,15.4,3.5,47.8,2.9,182,13.1,3519
All Maps,5,Iron 3,Breach,0.85,12.4,14.6,5.2,47.4,1.6,188,13.8,1938
All Maps,5,Iron 3,Astra,0.95,14.5,15.2,5.2,47.1,0.7,206,10.6,867
All Maps,6,Bronze 1,Sage,0.88,12.4,14.1,4.4,53.0,18.4,179,11.4,15096
All Maps,6,Bronze 1,Reyna,1.06,15.7,14.7,4.5,51.3,14.7,232,16.3,12036
All Maps,6,Bronze 1,Jett,1.02,15.0,14.7,4.2,55.9,10.0,225,16.9,8211
All Maps,6,Bronze 1,Raze,1.0,15.1,15.0,4.8,51.6,8.0,230,13.7,6528
All Maps,6,Bronze 1,Killjoy,1.0,13.8,13.8,4.2,52.0,7.7,202,10.5,6273
All Maps,6,Bronze 1,Omen,0.88,12.9,14.7,4.4,50.0,7.6,186,12.0,6222
All Maps,6,Bronze 1,Sova,0.92,13.2,14.3,5.2,52.4,6.5,199,12.2,5355
All Maps,6,Bronze 1,Viper,0.87,12.7,14.5,4.9,48.3,5.5,187,11.3,4539
All Maps,6,Bronze 1,Phoenix,1.09,16.4,15.0,4.4,49.3,4.2,240,14.4,3417
All Maps,6,Bronze 1,Brimstone,0.8,12.6,15.7,6.1,33.3,4.1,187,12.5,3366
All Maps,6,Bronze 1,Skye,0.86,12.8,14.8,4.1,46.9,4.0,190,13.0,3264
All Maps,6,Bronze 1,Cypher,0.93,13.2,14.2,4.2,44.4,3.9,185,9.9,3213
All Maps,6,Bronze 1,Yoru,0.97,14.2,14.6,4.2,50.0,2.9,210,13.0,2346
All Maps,6,Bronze 1,Breach,0.76,11.6,15.2,5.0,38.5,1.6,171,13.2,1326
All Maps,6,Bronze 1,Astra,0.91,13.2,14.5,3.4,53.8,0.8,182,11.6,663
All Maps,7,Bronze 2,Sage,0.91,12.8,14.0,4.5,54.5,16.7,186,11.1,35853
All Maps,7,Bronze 2,Reyna,1.1,16.6,15.1,4.3,51.4,13.9,243,16.5,29784
All Maps,7,Bronze 2,Jett,1.07,15.8,14.8,4.0,51.2,11.0,231,17.4,23613
All Maps,7,Bronze 2,Omen,0.96,14.1,14.8,4.7,51.4,8.6,204,12.0,18360
All Maps,7,Bronze 2,Killjoy,0.97,13.3,13.7,4.3,53.3,7.9,203,9.9,17034
All Maps,7,Bronze 2,Sova,0.92,13.2,14.4,5.6,46.1,7.9,193,10.1,17034
All Maps,7,Bronze 2,Raze,1.0,15.5,15.5,5.0,45.4,7.8,235,14.2,16728
All Maps,7,Bronze 2,Viper,1.05,14.5,13.8,4.8,56.1,5.0,211,11.9,10812
All Maps,7,Bronze 2,Phoenix,1.05,14.9,14.3,3.8,55.9,4.8,225,17.1,10302
All Maps,7,Bronze 2,Brimstone,0.9,13.3,14.7,6.0,48.8,4.0,196,12.4,8670
All Maps,7,Bronze 2,Cypher,0.92,13.4,14.6,4.3,44.9,3.5,190,10.8,7497
All Maps,7,Bronze 2,Skye,0.87,13.2,15.1,4.0,44.4,3.4,189,12.2,7344
All Maps,7,Bronze 2,Yoru,0.94,14.1,15.0,3.4,46.1,2.7,208,16.1,5865
All Maps,7,Bronze 2,Breach,0.95,13.3,14.0,4.9,60.0,1.5,204,15.8,3315
All Maps,7,Bronze 2,Astra,0.92,14.0,15.2,4.8,48.8,1.0,193,10.8,2091
All Maps,8,Bronze 3,Sage,0.95,13.6,14.2,4.4,51.1,15.7,191,11.1,32844
All Maps,8,Bronze 3,Reyna,1.14,16.9,14.8,4.4,50.7,14.8,248,15.8,31008
All Maps,8,Bronze 3,Jett,1.1,16.9,15.3,4.1,52.4,12.1,243,17.3,25194
All Maps,8,Bronze 3,Omen,0.98,14.8,15.1,4.7,50.6,8.4,209,12.2,17544
All Maps,8,Bronze 3,Raze,0.99,15.4,15.6,5.2,54.3,8.0,229,15.3,16728
All Maps,8,Bronze 3,Killjoy,0.96,13.6,14.2,4.4,52.8,7.4,201,10.6,15555
All Maps,8,Bronze 3,Sova,0.94,13.5,14.3,5.6,50.3,7.2,202,11.4,14994
All Maps,8,Bronze 3,Viper,0.92,13.8,14.9,5.3,49.8,5.0,195,10.9,10353
All Maps,8,Bronze 3,Phoenix,1.01,15.2,15.1,4.2,52.3,4.7,224,15.9,9843
All Maps,8,Bronze 3,Brimstone,0.96,13.8,14.5,6.1,49.1,4.1,200,12.4,8619
All Maps,8,Bronze 3,Skye,0.96,14.2,14.9,4.2,54.5,3.5,201,14.2,7293
All Maps,8,Bronze 3,Cypher,0.96,14.4,14.9,4.5,45.0,3.2,201,10.0,6681
All Maps,8,Bronze 3,Breach,0.96,14.2,14.8,5.1,57.6,2.4,203,13.4,5049
All Maps,8,Bronze 3,Yoru,1.04,15.2,14.6,3.5,44.9,2.4,225,16.4,4998
All Maps,8,Bronze 3,Astra,0.94,14.2,15.1,4.7,50.0,1.1,192,10.7,2244
All Maps,9,Silver 1,Reyna,1.15,17.5,15.2,4.2,51.6,15.3,252,15.9,57732
All Maps,9,Silver 1,Sage,0.92,13.5,14.6,4.4,49.1,14.9,189,11.5,56151
All Maps,9,Silver 1,Jett,1.13,17.3,15.3,3.9,49.4,13.0,246,17.7,49011
All Maps,9,Silver 1,Omen,0.98,15.0,15.4,5.1,51.3,8.6,208,12.8,32487
All Maps,9,Silver 1,Raze,1.0,15.7,15.7,4.9,47.6,7.7,235,15.2,28917
All Maps,9,Silver 1,Sova,0.96,14.1,14.7,5.7,51.5,7.4,202,11.4,27846
All Maps,9,Silver 1,Killjoy,1.0,13.9,14.0,4.2,50.9,6.8,205,10.5,25653
All Maps,9,Silver 1,Viper,1.01,14.7,14.6,5.4,49.7,5.3,205,11.2,19788
All Maps,9,Silver 1,Phoenix,1.07,16.4,15.3,4.4,50.8,4.4,240,17.0,16677
All Maps,9,Silver 1,Brimstone,0.94,14.0,14.9,6.6,52.8,4.1,201,11.3,15555
All Maps,9,Silver 1,Cypher,0.93,13.6,14.6,4.4,48.7,4.1,192,11.1,15402
All Maps,9,Silver 1,Skye,0.94,14.2,15.1,4.0,48.2,3.0,197,12.6,11322
All Maps,9,Silver 1,Breach,0.96,14.9,15.5,4.8,51.5,2.3,211,14.8,8721
All Maps,9,Silver 1,Yoru,0.93,14.6,15.7,3.6,43.0,2.0,207,15.5,7701
All Maps,9,Silver 1,Astra,1.06,15.1,14.3,4.7,45.5,1.0,208,11.7,3927
All Maps,10,Silver 2,Jett,1.14,17.6,15.4,4.0,50.2,15.6,248,18.1,32946
All Maps,10,Silver 2,Reyna,1.17,18.1,15.5,4.2,52.0,15.5,256,16.4,32844
All Maps,10,Silver 2,Sage,0.96,13.9,14.5,4.6,52.1,12.4,195,12.0,26316
