map,rank_tier,rank,play_rate,atk_win_pct,def_win_pct,num_matches
Icebox,3,Iron 1,16.5,51.6,48.4,4743
Haven,3,Iron 1,17.2,51.2,48.8,4947
Breeze,3,Iron 1,15.9,51.2,48.8,4590
Bind,3,Iron 1,18.4,50.9,49.1,5304
Ascent,3,Iron 1,13.6,48.2,51.8,3927
Split,3,Iron 1,18.4,47.1,52.9,5304
Icebox,4,Iron 2,15.5,50.9,49.1,3621
Haven,4,Iron 2,19.4,50.9,49.1,4539
Breeze,4,Iron 2,13.3,49.9,50.1,3111
Bind,4,Iron 2,17.4,48.6,51.4,4080
Ascent,4,Iron 2,15.5,47.0,53.0,3621
Split,4,Iron 2,19.0,47.0,53.0,4437
Breeze,5,Iron 3,14.0,52.3,47.7,10353
Icebox,5,Iron 3,16.8,51.9,48.1,12444
Haven,5,Iron 3,16.0,51.5,48.5,11832
Bind,5,Iron 3,19.1,48.1,51.9,14127
Split,5,Iron 3,18.4,47.8,52.2,13617
Ascent,5,Iron 3,15.7,46.5,53.5,11628
Breeze,6,Bronze 1,14.1,51.8,48.2,8466
Icebox,6,Bronze 1,16.6,51.4,48.6,9945
Haven,6,Bronze 1,16.9,50.8,49.2,10149
Bind,6,Bronze 1,15.8,47.6,52.4,9486
Split,6,Bronze 1,19.6,47.4,52.6,11781
Ascent,6,Bronze 1,16.9,45.8,54.2,10149
Haven,7,Bronze 2,18.1,50.9,49.1,23103
Breeze,7,Bronze 2,13.4,50.9,49.1,17187
Icebox,7,Bronze 2,17.5,50.6,49.4,22338
Bind,7,Bronze 2,16.7,49.3,50.7,21369
Ascent,7,Bronze 2,17.0,47.8,52.2,21675
Split,7,Bronze 2,17.4,46.4,53.6,22185
Icebox,8,Bronze 3,18.6,51.5,48.5,23817
Breeze,8,Bronze 3,12.6,51.2,48.8,16065
Haven,8,Bronze 3,16.9,50.4,49.6,21624
Bind,8,Bronze 3,15.7,49.2,50.8,20094
Split,8,Bronze 3,18.5,47.8,52.2,23715
Ascent,8,Bronze 3,17.6,47.3,52.7,22542
Breeze,9,Silver 1,13.9,51.6,48.4,26010
Haven,9,Silver 1,17.0,51.5,48.5,31671
Icebox,9,Silver 1,16.6,50.5,49.5,31059
Bind,9,Silver 1,17.1,48.7,51.3,31926
Split,9,Silver 1,17.7,47.8,52.2,32946
Ascent,9,Silver 1,17.7,47.2,52.8,32946
Breeze,10,Silver 2,13.6,51.9,48.1,17391
Haven,10,Silver 2,16.7,51.2,48.8,21267
Icebox,10,Silver 2,16.6,51.1,48.9,21216
Ascent,10,Silver 2,18.6,49.0,51.0,23715
Split,10,Silver 2,16.9,47.9,52.1,21573
Bind,10,Silver 2,17.4,47.5,52.5,22236
Haven,11,Silver 3,17.4,53.9,46.1,16116
Breeze,11,Silver 3,13.6,51.9,48.1,12546
Icebox,11,Silver 3,15.9,49.6,50.4,14688
Bind,11,Silver 3,18.3,49.0,51.0,16932
Ascent,11,Silver 3,17.7,48.8,51.2,16422
Split,11,Silver 3,17.0,48.4,51.6,15759
Haven,12,Gold 1,17.0,53.1,46.9,10098
Breeze,12,Gold 1,12.4,51.3,48.7,7344
Icebox,12,Gold 1,17.0,49.5,50.5,10047
Split,12,Gold 1,17.6,49.2,50.8,10404
Bind,12,Gold 1,18.1,48.2,51.8,10710
Ascent,12,Gold 1,17.8,48.0,52.0,10557
Haven,13,Gold 2,17.9,52.9,47.1,10047
Breeze,13,Gold 2,12.9,51.1,48.9,7242
Split,13,Gold 2,16.4,49.8,50.2,9231
Icebox,13,Gold 2,16.6,48.7,51.3,9333
Ascent,13,Gold 2,17.2,47.0,53.0,9639
Bind,13,Gold 2,18.9,45.6,54.4,10608
Haven,14,Gold 3,17.0,53.1,46.9,8109
Breeze,14,Gold 3,13.9,50.8,49.2,6630
Split,14,Gold 3,17.0,48.3,51.7,8109
Icebox,14,Gold 3,16.3,46.8,53.2,7752
Ascent,14,Gold 3,18.1,45.9,54.1,8619
Bind,14,Gold 3,17.8,45.0,55.0,8466
Haven,15,Platinum 1,19.3,51.2,48.8,6426
Icebox,15,Platinum 1,15.9,49.5,50.5,5304
Breeze,15,Platinum 1,14.1,49.4,50.6,4692
Split,15,Platinum 1,14.2,49.2,50.8,4743
Bind,15,Platinum 1,18.5,45.2,54.8,6171
Ascent,15,Platinum 1,17.9,45.1,54.9,5967
Haven,16,Platinum 2,16.6,50.8,49.2,4029
Icebox,16,Platinum 2,17.3,49.1,50.9,4182
Split,16,Platinum 2,14.5,49.0,51.0,3519
Breeze,16,Platinum 2,13.7,47.9,52.1,3315
Bind,16,Platinum 2,19.2,47.8,52.2,4641
Ascent,16,Platinum 2,18.7,46.4,53.6,4539
Haven,17,Platinum 3,21.1,51.4,48.6,4131
Icebox,17,Platinum 3,17.4,50.6,49.4,3417
Split,17,Platinum 3,13.0,49.8,50.2,2550
Ascent,17,Platinum 3,14.8,47.2,52.8,2907
