job_title,industry,experience,city,state,salary
Associate Consultant,Information Management,8 - 10 years,Seattle,WA,45000.0
Development Manager,Nonprofit,2 - 4 years,Dallas,TX,51000.0
Student Records Coordinator,Higher Education,8 - 10 years,Philadelphia,PA,54371.0
Copywriter,Business Services,11 - 20 years,New York,NY,80000.0
HR and Administrative Coordinator,Mental Health,5 - 7 years,Baltimore,MD,50000.0
Associate Professor,Higher Ed,8 - 10 years,Pittsburgh,PA,52000.0
Senior Marketing Manager,Media,8 - 10 years,Washington,DC,90000.0
Assistant Media Editor,Publishing,2 - 4 years,New York,NY,41000.0
Assistant Director of Development Research,Nonprofit,5 - 7 years,Boston,MA,67500.0
Pet sitter,Pet care,5 - 7 years,Pittsburgh,PA,15000.0
Catering Lead,Catering,2 - 4 years,San Francisco,CA,45000.0
Property Manager,Property Management,21 - 30 years,Washington,DC,139000.0
Business Analyst,Ecommerce,1 year or less,Boston,MA,68000.0
Content Marketing Specialist,Design Build,21 - 30 years,St. Louis,MO,56000.0
Executive Assistant,Tech,5 - 7 years,San Francisco,CA,77000.0
English Teacher,Education,5 - 7 years,Boston,MA,81500.0
Academic Specialist,Banking,8 - 10 years,Philadelphia,PA,42000.0
Practice Manager,Veterinary medicine,11 - 20 years,Pittsburgh,PA,50000.0
Circulation Supervisor,Academic Library,11 - 20 years,Denver,CO,31000.0
Systems Administrator,Government,11 - 20 years,Los Angeles,CA,120000.0
"Director, Consulting",Consulting,21 - 30 years,Seattle,WA,182000.0
Manager,Consulting,8 - 10 years,Washington,DC,110000.0
Human Resource Manager,Nonprofit,11 - 20 years,Denver,CO,61500.0
Grants Manager,Nonprofit (transportation advocacy),5 - 7 years,New York,NY,57000.0
Due Diligence Specialist,Compliance,5 - 7 years,San Francisco,CA,93500.0
Senior Manager,Financial Services,11 - 20 years,New York,NY,116245.0
Partner Marketing Manager,Marketing,8 - 10 years,Chicago,IL,170000.0
Natural Resource Specialist IV,Government,11 - 20 years,Austin,TX,60000.0
Administrative Assistant,Academic non-profit (scientific society),11 - 20 years,Pittsburgh,PA,39000.0
Office Manager,Photography,11 - 20 years,Phoenix,AZ,42000.0
Senior Accountant,Accounting,2 - 4 years,Philadelphia,PA,75000.0
Librarian,Higher Education,2 - 4 years,Philadelphia,PA,55000.0
Assciate,Health & Benefits,5 - 7 years,Atlanta,GA,85000.0
Legal Assistant,Law,2 - 4 years,Chicago,IL,30000.0
Associate Attorney,Law,2 - 4 years,Philadelphia,PA,125000.0
Teacher and administrator,Education,11 - 20 years,New York,NY,102000.0
Information Account Executive,Insurance,11 - 20 years,Chicago,IL,66500.0
Editor-in-Chief,Health and Wellness,5 - 7 years,Chicago,IL,40000.0
Program Manager & Staff Attorney,Nonprofit (government & court reform),21 - 30 years,Chicago,IL,57000.0
Senior estimator - mechanical,Construction,11 - 20 years,Pittsburgh,PA,72400.0
Exec Assistant to the CEO,Biotech,21 - 30 years,San Diego,CA,100000.0
Director,Higher Education,31 - 40 years,New York,NY,88000.0
Hardware Engineer,Tech,2 - 4 years,St. Louis,MO,72000.0
Consultant,Consulting,8 - 10 years,Washington,DC,75000.0
Veterinary Technician,Veterinary medicine,11 - 20 years,Pittsburgh,PA,35600.0
Project Engineer,Civil Engineering,2 - 4 years,Dallas,TX,70000.0
Senior Technical Product Manager,IT,11 - 20 years,Dallas,TX,135000.0
Assistant Managing Editor,Media/Journalism,11 - 20 years,New York,NY,105000.0
Library acquisitions specialist,Higher Education,11 - 20 years,Philadelphia,PA,33000.0
Social Media Specialist,Non-profit (medical research),8 - 10 years,Washington,DC,75000.0
Reporter,Journalism,5 - 7 years,Baltimore,MD,45000.0
Archivist,Library--College,8 - 10 years,Chicago,IL,62000.0
Policy Analyst,Government,11 - 20 years,Washington,DC,149000.0
Judicial Law Clerk,Law,2 - 4 years,Chicago,IL,48000.0
Account Manager,Insurance,2 - 4 years,San Diego,CA,44000.0
Associate,Asset Management,8 - 10 years,Dallas,TX,100000.0
Assistant Editor,Health care professional Organization,5 - 7 years,Washington,DC,51000.0
Lead Human Resources Generalist,Nonprofit,5 - 7 years,Seattle,WA,55162.0
Associate,Lawyer,8 - 10 years,Austin,TX,130000.0
Research Director,Politics,5 - 7 years,Washington,DC,80000.0
Graphic Designer,aquaria and conservation,1 year or less,Baltimore,MD,48500.0
Administrative Coordinator,Academic Administration,11 - 20 years,Portland,OR,47237.0
Program Assistant,Higher Education,5 - 7 years,Boston,MA,46000.0
Security Administrator,IT,31 - 40 years,Minneapolis,MN,69000.0
Membership and Operations Manager,Association,11 - 20 years,Washington,DC,60000.0
Designer,Advertising,8 - 10 years,Chicago,IL,65000.0
Marketing Associate,Consumer Packaged Goods,8 - 10 years,Chicago,IL,45000.0
Creative Content Manager,Tech/Startups (Creative focused team),5 - 7 years,New York,NY,110000.0
Benefits Financial Specialist,HR - Higher Ed,5 - 7 years,Chicago,IL,50481.0
Senior Development Manager,"Nonprofit Management, Fundraising",5 - 7 years,New York,NY,70000.0
coffee importer,Coffee,8 - 10 years,Portland,OR,68000.0
LOA Specialist,Telecom,11 - 20 years,Seattle,WA,58000.0
Health Scientist,Research,21 - 30 years,Atlanta,GA,90000.0
HR Manager,Higher Education,8 - 10 years,Denver,CO,55000.0
Junior Project Analyst/Technical Editor,Writing and Editing,2 - 4 years,Washington,DC,55550.0
Senior Business Analyst,Software,8 - 10 years,Austin,TX,98000.0
Payroll & Benefits Manager,Technology,5 - 7 years,Seattle,WA,81000.0
Editor,Media,11 - 20 years,New York,NY,154000.0
Software Engineer,IT,41 years or more,Los Angeles,CA,68000.0
Legal Assistant,Law,21 - 30 years,Chicago,IL,79000.0
Pharmacist,Medicine,5 - 7 years,Boston,MA,120000.0
Grants Manager (Development),Nonprofit (Human Services),8 - 10 years,Baltimore,MD,72000.0
SEO Specialist,Digital Marketing,5 - 7 years,Philadelphia,PA,42000.0
Human Resources Manager,Parks & Rec,11 - 20 years,Denver,CO,90000.0
Bookseller,Retail,5 - 7 years,New York,NY,36400.0
Social Worker,Legal services (nonprofit),8 - 10 years,New York,NY,65000.0
