country,region,shipment_mode,product_group,vendor,scheduled_date,delivered_date,delay_days,status,quantity,line_item_value,weight_kg,freight_cost_usd
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,RANBAXY Fine Chemicals LTD.,2006-06-02,2006-06-02,0,On Time,19,551.0,13,780.34
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2006-11-14,2006-11-14,0,On Time,1000,6200.0,358,4521.5
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,Abbott GmbH & Co. KG,2006-08-27,2006-08-27,0,On Time,500,40000.0,171,1653.78
Vietnam,Asia,Air,ARV,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),2006-09-01,2006-09-01,0,On Time,31920,127360.8,1855,16007.06
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2006-08-11,2006-08-11,0,On Time,38000,121600.0,7590,45450.08
Nigeria,Sub-Saharan Africa,Air,ARV,Aurobindo Pharma Limited,2006-09-28,2006-09-28,0,On Time,416,2225.6,504,5920.42
Zambia,Sub-Saharan Africa,Air,ARV,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),2007-01-08,2007-01-08,0,On Time,135,4374.0,328,
Tanzania,Sub-Saharan Africa,Air,ARV,Aurobindo Pharma Limited,2006-11-24,2006-11-24,0,On Time,16667,60834.55,1478,6212.41
Nigeria,Sub-Saharan Africa,Air,ARV,Aurobindo Pharma Limited,2006-12-07,2006-12-07,0,On Time,273,532.35,See ASN-93 (ID#:1281),
Zambia,Sub-Saharan Africa,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2007-01-30,2007-01-30,0,On Time,2800,115080.0,643,
Zambia,Sub-Saharan Africa,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2007-02-16,2007-02-16,0,On Time,2800,115080.0,643,
Zambia,Sub-Saharan Africa,Air,HRDT,"Trinity Biotech, Plc",2007-01-08,2007-01-08,0,On Time,2500,100000.0,853,13569.49
Nigeria,Sub-Saharan Africa,Air,HRDT,EY Laboratories,2007-01-10,2007-01-10,0,On Time,10,850.0,Weight Captured Separately,
Rwanda,Sub-Saharan Africa,Air,ARV,CIPLA LIMITED,2007-02-27,2007-02-27,0,On Time,10000,99800.0,7416,64179.42
Haiti,Latin America & Caribbean,Air,HRDT,Abbott GmbH & Co. KG,2007-01-18,2007-01-18,0,On Time,750,60000.0,256,1760.32
Zimbabwe,Sub-Saharan Africa,Air,ARV,BRISTOL-MYERS SQUIBB,2007-03-19,2007-03-19,0,On Time,579,14764.5,Weight Captured Separately,
Rwanda,Sub-Saharan Africa,Air,HRDT,Premier Medical Corporation Ltd.,2007-03-29,2007-03-29,0,On Time,2000,33000.0,710,3120.7
Tanzania,Sub-Saharan Africa,Air,ARV,BRISTOL-MYERS SQUIBB,2007-06-06,2007-06-06,0,On Time,712,8964.08,162,912.96
Nigeria,Sub-Saharan Africa,Air,HRDT,Abbott GmbH & Co. KG,2007-06-19,2007-06-19,0,On Time,1000,80000.0,341,2682.47
Nigeria,Sub-Saharan Africa,Air,HRDT,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",2007-06-19,2007-06-19,0,On Time,7500,202500.0,2278,15893.71
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,BRISTOL-MYERS SQUIBB,2007-10-02,2007-10-02,0,On Time,5513,140581.5,2126,
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2007-10-15,2007-10-15,0,On Time,1000,1920.0,941,4193.49
Vietnam,Asia,Air,ARV,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),2007-08-27,2007-08-27,0,On Time,500,41095.0,117,1767.38
Haiti,Latin America & Caribbean,Air,HRDT,"Orgenics, Ltd",2007-08-13,2007-08-21,8,Delayed,750,53992.5,171,3518.38
Haiti,Latin America & Caribbean,Air,HRDT,Orasure Technologies Inc.,2007-08-25,2007-08-25,0,On Time,25,8750.0,60,3097.85
Tanzania,Sub-Saharan Africa,Air,HRDT,"Standard Diagnostics, Inc.",2007-10-16,2007-10-16,0,On Time,10000,200000.0,3335,27869.74
Tanzania,Sub-Saharan Africa,Air,HRDT,"Standard Diagnostics, Inc.",2007-11-22,2007-11-22,0,On Time,10000,200000.0,3335,28461.1
Tanzania,Sub-Saharan Africa,Air,HRDT,"Standard Diagnostics, Inc.",2007-11-22,2007-11-22,0,On Time,10000,200000.0,3335,28359.8
Ethiopia,Sub-Saharan Africa,Air,ARV,Aurobindo Pharma Limited,2007-11-20,2007-11-20,0,On Time,64000,99200.0,4228,12237.61
Nigeria,Sub-Saharan Africa,Air,HRDT,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",2007-10-03,2007-10-03,0,On Time,10000,270000.0,3263,20885.78
Vietnam,Asia,Air,ARV,"GILEAD SCIENCES IRELAND, INC.",2008-01-21,2008-01-21,0,On Time,1000,17000.0,76,2282.57
Vietnam,Asia,Air,ARV,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),2008-01-21,2008-01-21,0,On Time,400,3352.0,23,2149.05
Rwanda,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-01-31,2008-01-31,0,On Time,1500,15.0,99,0.75
Nigeria,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-02-05,2008-02-05,0,On Time,650,6.5,Weight Captured Separately,
Haiti,Latin America & Caribbean,Air,HRDT,"Trinity Biotech, Plc",2008-02-18,2008-02-18,0,On Time,2,278.0,Weight Captured Separately,
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,BIO-RAD LABORATORIES (FRANCE),2008-06-17,2008-06-17,0,On Time,476,36176.0,509,5446.51
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,"Standard Diagnostics, Inc.",2009-03-19,2009-03-19,0,On Time,659,13180.0,206,2656.12
Guyana,Latin America & Caribbean,Air,HRDT,"Orgenics, Ltd",2008-04-09,2008-04-01,-8,On Time,240,2.4,Weight Captured Separately,
Guyana,Latin America & Caribbean,Air,HRDT,"Orgenics, Ltd",2008-07-28,2008-07-28,0,On Time,213,2.13,14,360.0
Zimbabwe,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-11-17,2008-11-17,0,On Time,1634,117631.66,373,4112.46
Nigeria,Sub-Saharan Africa,Air,HRDT,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",2008-04-17,2008-04-17,0,On Time,1425,38475.0,483,5468.88
Namibia,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-06-04,2008-06-04,0,On Time,142,10222.58,33,1715.17
Vietnam,Asia,Air,ARV,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2008-06-03,2008-06-03,0,On Time,8400,96432.0,654,4051.34
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-04-24,2008-04-24,0,On Time,6,405.06,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-04-24,2008-04-24,0,On Time,600,870.0,Weight Captured Separately,
Vietnam,Asia,Air,ARV,BRISTOL-MYERS SQUIBB,2008-07-12,2008-07-12,0,On Time,400,2800.0,81,2211.05
Nigeria,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-07-09,2008-07-09,0,On Time,5498,439785.02,1251,16090.22
Nigeria,Sub-Saharan Africa,Air,HRDT,"Orgenics, Ltd",2008-07-09,2008-07-04,-5,On Time,5498,54.98,Weight Captured Separately,
Ethiopia,Sub-Saharan Africa,Air,HRDT,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,2008-05-09,2008-05-09,0,On Time,15,691.42,Weight Captured Separately,
Vietnam,Asia,Air,ARV,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2008-09-19,2008-09-19,0,On Time,1344,18359.04,1537,13507.92
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-08-20,2008-08-20,0,On Time,20,103.4,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-08-20,2008-05-08,-104,On Time,100,1906.0,Weight Captured Separately,
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-08-20,2008-05-08,-104,On Time,670,1025.1,Weight Captured Separately,
Tanzania,Sub-Saharan Africa,Air,ARV,BRISTOL-MYERS SQUIBB,2008-09-02,2008-09-02,0,On Time,2597,61470.99,117,645.1
Haiti,Latin America & Caribbean,Air,HRDT,Orasure Technologies Inc.,2008-09-30,2008-09-30,0,On Time,28,9800.0,109,782.13
Haiti,Latin America & Caribbean,Air,HRDT,"Trinity Biotech, Plc",2008-11-24,2008-11-24,0,On Time,84,11676.0,54,871.57
South Africa,Sub-Saharan Africa,Truck,ARV,S. BUYS WHOLESALER,2008-06-12,2008-06-09,-3,On Time,30,1049.4,Weight Captured Separately,
Vietnam,Asia,Air,ARV,Aurobindo Pharma Limited,2008-09-19,2008-09-19,0,On Time,38640,92736.0,2719,18614.72
