date,region,department,expense_type,amount
2023-01-01,North America,Sales,Rent,2050.7
2023-01-01,North America,Sales,Utilities,599.98
2023-01-01,North America,Sales,Travel,466.47
2023-01-01,North America,Sales,Software,752.94
2023-01-01,North America,Sales,Professional Services,1014.19
2023-01-01,North America,Marketing,Salaries,7047.88
2023-01-01,North America,Marketing,Rent,2076.35
2023-01-01,North America,Marketing,Utilities,483.33
2023-01-01,North America,Marketing,Travel,399.76
2023-01-01,North America,Marketing,Software,615.58
2023-01-01,North America,Marketing,Professional Services,745.89
2023-01-01,North America,R&D,Salaries,8434.49
2023-01-01,North America,R&D,Utilities,535.42
2023-01-01,North America,R&D,Travel,361.66
2023-01-01,North America,R&D,Software,670.81
2023-01-01,North America,R&D,Professional Services,814.26
2023-01-01,North America,Admin,Rent,2432.79
2023-01-01,North America,Admin,Utilities,514.45
2023-01-01,North America,Admin,Software,626.24
2023-01-01,North America,Admin,Professional Services,844.62
2023-01-01,North America,Operations,Salaries,8985.79
2023-01-01,North America,Operations,Rent,2395.46
2023-01-01,North America,Operations,Utilities,601.75
2023-01-01,North America,Operations,Travel,524.56
2023-01-01,North America,Operations,Software,702.91
2023-01-01,North America,Operations,Professional Services,898.43
2023-01-01,Europe,Sales,Salaries,7694.64
2023-01-01,Europe,Sales,Rent,1865.53
2023-01-01,Europe,Sales,Travel,450.4
2023-01-01,Europe,Sales,Software,613.45
2023-01-01,Europe,Marketing,Salaries,8745.98
2023-01-01,Europe,Marketing,Utilities,715.01
2023-01-01,Europe,Marketing,Travel,470.68
2023-01-01,Europe,Marketing,Professional Services,884.59
2023-01-01,Europe,R&D,Salaries,11578.85
2023-01-01,Europe,R&D,Rent,2957.28
2023-01-01,Europe,R&D,Utilities,600.42
2023-01-01,Europe,R&D,Software,874.81
2023-01-01,Europe,Admin,Salaries,10771.61
2023-01-01,Europe,Admin,Utilities,636.83
2023-01-01,Europe,Admin,Travel,545.26
2023-01-01,Europe,Admin,Software,832.13
2023-01-01,Europe,Admin,Professional Services,1033.28
2023-01-01,Europe,Operations,Salaries,9408.48
2023-01-01,Europe,Operations,Rent,2285.46
2023-01-01,Europe,Operations,Utilities,605.28
2023-01-01,Europe,Operations,Travel,569.4
2023-01-01,Europe,Operations,Professional Services,1016.06
2023-01-01,Asia Pacific,Sales,Salaries,12259.23
2023-01-01,Asia Pacific,Sales,Rent,2780.7
2023-01-01,Asia Pacific,Sales,Professional Services,1230.36
2023-01-01,Asia Pacific,Marketing,Salaries,11261.88
2023-01-01,Asia Pacific,Marketing,Rent,2854.4
2023-01-01,Asia Pacific,Marketing,Utilities,669.74
2023-01-01,Asia Pacific,Marketing,Software,936.07
2023-01-01,Asia Pacific,Marketing,Professional Services,1015.39
2023-01-01,Asia Pacific,R&D,Rent,2230.68
2023-01-01,Asia Pacific,R&D,Travel,491.55
2023-01-01,Asia Pacific,R&D,Software,856.51
2023-01-01,Asia Pacific,R&D,Professional Services,1048.65
2023-01-01,Asia Pacific,Admin,Salaries,9743.39
2023-01-01,Asia Pacific,Admin,Rent,2202.68
2023-01-01,Asia Pacific,Admin,Travel,423.54
2023-01-01,Asia Pacific,Admin,Professional Services,967.97
