order_id,order_date,region,category,product_name,customer_segment,quantity,unit_price,discount,sales,profit
100100,2023-01-01,Latin America,Apparel,Cap,Consumer,5,29.8,0.0,148.99,44.59
100176,2023-01-01,North America,Office Supplies,Whiteboard,Corporate,6,18.36,0.1,99.17,21.83
100171,2023-01-01,North America,Office Supplies,Whiteboard,Consumer,1,14.82,0.0,14.82,3.75
100281,2023-01-01,Europe,Apparel,Jacket,Small Business,5,43.11,0.0,215.53,63.38
102012,2023-01-01,Middle East,Home & Garden,Plant Pot,Corporate,7,21.41,0.0,149.87,65.75
101985,2023-01-01,North America,Electronics,Wireless Mouse,Corporate,7,69.97,0.1,440.84,187.74
100067,2023-01-01,Middle East,Office Supplies,Stapler,Consumer,1,5.0,0.15,4.25,1.61
101587,2023-01-03,Middle East,Electronics,Headphones,Consumer,5,70.77,0.3,247.69,57.67
100387,2023-01-03,Europe,Furniture,Office Chair,Consumer,6,222.8,0.15,1136.3,249.27
100181,2023-01-03,Europe,Furniture,Desk Lamp,Consumer,2,112.38,0.05,213.51,82.5
101783,2023-01-04,Latin America,Furniture,Filing Cabinet,Corporate,4,181.9,0.05,691.2,243.07
100960,2023-01-04,Europe,Furniture,Bookshelf,Consumer,4,343.25,0.1,1235.71,428.12
100633,2023-01-04,Latin America,Home & Garden,Plant Pot,Consumer,2,36.47,0.15,62.0,25.41
102154,2023-01-05,Latin America,Apparel,Jacket,Consumer,7,48.34,0.0,338.39,100.9
101137,2023-01-05,Europe,Apparel,T-Shirt,Small Business,3,28.52,0.15,72.73,20.44
101701,2023-01-05,Asia Pacific,Home & Garden,Plant Pot,Consumer,2,39.5,0.0,79.0,26.0
100337,2023-01-05,Europe,Electronics,Wireless Mouse,Consumer,1,85.97,0.0,85.97,32.23
100391,2023-01-06,Europe,Apparel,T-Shirt,Small Business,2,31.6,0.05,60.03,22.89
102106,2023-01-06,North America,Office Supplies,Pen Set,Consumer,5,26.25,0.1,118.15,44.52
100468,2023-01-06,Asia Pacific,Furniture,Office Chair,Consumer,2,72.4,0.0,144.8,55.18
101466,2023-01-07,North America,Office Supplies,Sticky Notes,Consumer,2,8.61,0.0,17.21,4.4
